Category,Sales,Revenue,Discount,Age,Region,Product,Date
D,3658,1998.012318730967,0.40610820964678285,49,East,P1,2023-09-18 15:00:00
E,4500,3189.8859594492747,0.24250457951718363,55,East,P2,2023-01-10 22:00:00
C,1374,2097.5384208103496,0.2096332782563983,20,North,P2,2023-05-14 23:00:00
E,3120,4606.3320211482705,0.4204656268700635,33,West,P4,2023-11-11 05:00:00
E,3021,1860.8179189327711,0.25087151671369745,37,West,P4,2023-06-01 23:00:00
B,4705,4537.420601823014,0.4613344026090821,49,South,P4,2023-08-14 08:00:00
C,2053,3237.6217029094278,0.12787627869204787,40,East,P3,2023-09-22 04:00:00
C,4259,4313.952535580964,0.12328700483013587,34,West,P1,2023-04-12 05:00:00
C,4435,3851.38398344382,0.47080166404056334,33,South,P2,2023-06-02 04:00:00
E,2889,3786.7804457469942,0.35938196567257397,55,East,P2,2023-09-20 19:00:00
D,2823,2297.383230780223,0.25183974257933295,25,North,P3,2023-08-03 04:00:00
C,2474,1935.587725888814,0.40202416592647316,36,West,P2,2023-04-30 22:00:00
E,3242,1843.5449107231525,0.3689307239974565,47,West,P2,2023-03-05 23:00:00
B,2179,4428.766628238354,0.3124804187278385,51,East,P1,2023-12-30 15:00:00
D,4243,4281.7072810360805,0.13954933706506056,31,North,P4,2023-09-18 14:00:00
B,3894,2762.294112049229,0.4248718349171007,39,North,P4,2023-02-09 12:00:00
D,2064,1529.6184539858184,0.4464092762722499,61,West,P3,2023-06-14 05:00:00
E,4134,2529.0090079098336,0.16886747542105965,34,East,P4,2023-10-03 03:00:00
A,3070,3477.3738165476457,0.44020466079082665,32,South,P4,2023-12-26 09:00:00
D,1359,2817.6126179198113,0.45113892440662573,49,West,P3,2023-02-28 11:00:00
B,4146,4120.75707393198,0.31977144491540643,30,North,P3,2023-11-22 19:00:00
E,3607,4990.491289005542,0.36247161448907483,38,South,P4,2023-05-27 07:00:00
D,3719,1764.5283537955875,0.2528949280057966,57,East,P1,2023-05-03 07:00:00
A,3041,2838.60327863829,0.2127166590037064,50,North,P3,2023-07-23 06:00:00
A,4896,2723.9356076832883,0.38879325878065796,44,South,P2,2023-11-09 18:00:00
C,2141,2217.9701309958036,0.4447500596063233,52,West,P3,2023-11-13 07:00:00
C,2635,1792.3820668811582,0.36163102118229906,33,North,P2,2023-07-30 20:00:00
B,2403,1262.7684659586369,0.3046362442586197,45,East,P3,2023-05-19 21:00:00
D,2943,4548.477268894794,0.16356990673766864,51,North,P3,2023-03-08 18:00:00
D,1678,2679.3947907452703,0.12138348504192727,64,West,P4,2023-12-17 20:00:00
C,4361,2987.5820740001955,0.2782767160986986,18,East,P4,2023-04-02 12:00:00
D,3487,4667.768192803664,0.11973982547896851,58,West,P4,2023-01-05 14:00:00
D,4739,4105.161910063791,0.32773385276289,48,South,P1,2023-09-08 23:00:00
A,3980,1522.0050564687367,0.2530916765271085,53,North,P4,2023-06-23 07:00:00
C,1006,3261.6798704309695,0.40287564787278785,61,West,P4,2023-06-11 03:00:00
E,4267,2769.0091060782365,0.2222593987344734,50,South,P3,2023-11-15 09:00:00
C,3468,4188.844290315052,0.3371930803869728,50,East,P3,2023-07-28 12:00:00
E,2591,3896.930190447797,0.3150734087020402,56,East,P1,2023-12-08 20:00:00
A,1832,3761.622887644288,0.10188497020889647,35,South,P2,2023-10-22 21:00:00
B,4264,2362.1793419195874,0.12895575930572414,40,South,P3,2023-05-16 21:00:00
D,3606,4219.854921597018,0.21614728499440822,40,East,P3,2023-01-28 14:00:00
A,4219,1209.5651823794449,0.45289403240830606,32,West,P2,2023-05-22 06:00:00
D,2810,1638.499605728669,0.15880598195991144,43,South,P1,2023-05-06 18:00:00
B,4740,2342.493091911647,0.38435773218421665,47,West,P3,2023-03-21 06:00:00
B,4273,1307.229764277125,0.489346626460915,42,East,P4,2023-06-23 19:00:00
A,4515,1939.9771101387664,0.41622702107646214,62,West,P1,2023-01-14 16:00:00
B,1913,4320.603931991673,0.1971781446748176,33,West,P2,2023-09-20 07:00:00
E,3011,4793.006151160317,0.4633461041652327,56,South,P2,2023-06-10 06:00:00
B,2442,2218.409423096762,0.13724286260335605,62,West,P4,2023-01-10 08:00:00
D,2450,2058.063215955353,0.2872567767482943,31,West,P4,2023-04-16 00:00:00
D,4054,2119.5706089857076,0.4550167630905655,34,West,P4,2023-12-03 00:00:00
D,2502,2110.8763494033756,0.35650628370274795,29,East,P1,2023-06-04 18:00:00
D,4546,1143.7207287438919,0.2654578258910796,46,East,P2,2023-04-11 07:00:00
E,1125,4707.6653853244325,0.21712514669486752,49,North,P4,2023-10-06 11:00:00
C,3442,1854.7925662813136,0.25003976212734,41,East,P4,2023-02-03 18:00:00
A,1816,2680.01629632562,0.30357671240371453,30,East,P2,2023-10-09 08:00:00
D,3928,1038.747530963871,0.22761757194912297,37,North,P3,2023-05-10 21:00:00
B,2829,4431.820363660228,0.48758714483291987,32,North,P1,2023-07-18 21:00:00
D,1575,3924.6293778196687,0.4732310612264581,21,South,P3,2023-05-18 02:00:00
B,3372,4787.0241406948135,0.44826858728572827,51,South,P4,2023-04-04 19:00:00
B,2415,4126.461916785596,0.2687319342090614,45,East,P1,2023-07-14 05:00:00
D,1929,2254.826048208261,0.37652070773409163,19,West,P3,2023-07-11 22:00:00
E,4759,1991.4934349136947,0.46113172281438586,64,South,P2,2023-09-25 13:00:00
B,4699,3790.865230213172,0.4401717950715712,47,South,P4,2023-05-08 04:00:00
B,2463,2456.451100041998,0.26573080560808304,43,East,P1,2023-12-08 23:00:00
