ProductID,ProductName,Category,Brand,Size,Color,Price,Discount,QuantityInStock,Material,Season,Manufacturer
P1,Product1,Dresses,BrandA,XL,Black,22.89,0.01727315593165457,97,Denim,Summer,Manufacturer1
P2,Product2,Jeans,BrandC,XS,White,41.96,0.2557473523018187,95,Cotton,Winter,Manufacturer2
P3,Product3,Jeans,BrandC,XL,Black,65.87,0.24858863260533393,4,Wool,Winter,Manufacturer3
P4,Product4,Dresses,BrandB,XS,White,50.4,0.1402682647162927,29,Denim,Spring,Manufacturer4
P5,Product5,Jeans,BrandD,M,Black,20.9,0.2459484573670321,22,Wool,Fall,Manufacturer5
P6,Product6,Jeans,BrandD,XS,Yellow,85.48,0.09979704373290578,78,Cotton,Winter,Manufacturer6
P7,Product7,Sweaters,BrandA,XS,Black,50.85,0.032760316441088184,41,Polyester,Winter,Manufacturer7
P8,Product8,Sweaters,BrandA,XS,Blue,81.49,0.22561868115163308,23,Cotton,Spring,Manufacturer8
P9,Product9,T-Shirts,BrandA,XS,Green,51.68,0.0982386087434638,6,Cotton,Winter,Manufacturer9
P10,Product10,Dresses,BrandD,L,White,40.37,0.09325055187624882,3,Wool,Winter,Manufacturer10
P11,Product11,T-Shirts,BrandA,M,Blue,74.61,0.10905237513464214,21,Polyester,Fall,Manufacturer11
P12,Product12,T-Shirts,BrandC,XL,White,13.39,0.25360856282323646,52,Cotton,Fall,Manufacturer12
P13,Product13,Jeans,BrandA,L,Blue,68.18,0.061987499135260436,32,Polyester,Spring,Manufacturer13
P14,Product14,Dresses,BrandA,XS,Green,49.07,0.1853040102945788,96,Denim,Summer,Manufacturer14
P15,Product15,T-Shirts,BrandB,L,Blue,90.67,0.13994808923311905,80,Wool,Winter,Manufacturer15
P16,Product16,Sweaters,BrandC,M,Black,92.94,0.10718333477067675,60,Polyester,Winter,Manufacturer16
P17,Product17,Dresses,BrandD,M,Yellow,13.66,0.021130656997604157,97,Cotton,Winter,Manufacturer17
P18,Product18,Jeans,BrandC,S,Red,37.94,0.22579893820942026,30,Wool,Winter,Manufacturer18
P19,Product19,Sweaters,BrandA,XS,White,87.08,0.293818791042899,18,Cotton,Summer,Manufacturer19
P20,Product20,Dresses,BrandD,L,Red,15.17,0.11389870519679356,56,Cotton,Winter,Manufacturer20
P21,Product21,Sweaters,BrandB,L,Black,78.46,0.07191702099368001,1,Polyester,Summer,Manufacturer21
P22,Product22,Jeans,BrandB,XL,Red,10.24,0.16568555274806152,87,Denim,Summer,Manufacturer22
P23,Product23,Sweaters,BrandD,S,Yellow,78.22,0.09522815375145112,28,Polyester,Summer,Manufacturer23
P24,Product24,Dresses,BrandD,S,Yellow,82.24,0.007842689216495656,76,Wool,Spring,Manufacturer24
