Year,Technology,Category,Popularity_Index,Growth_Rate,Usage,Market_Share,Region,Industry,Comments
2022,Ruby,Database,50.5473015440467,-7.438251320899367,820124,27.472300271624604,North America,Healthcare,None
2015,C++,IDE,84.8648391443307,-7.8579238178261495,665254,41.572719839655534,North America,IT,None
2010,Go,Framework,80.95663724487686,-1.9471065097264741,275232,17.83227190780249,South America,Education,None
2013,Rust,Framework,0.9777517631399779,3.8398113461434065,53486,46.92772292576329,South America,Healthcare,None
2021,Ruby,Language,15.537118683549267,-4.996349341152159,873113,3.3218252112679867,Asia,Finance,None
2013,JavaScript,Programming Language,37.71609796520614,-2.2990141013739906,606292,46.51446761409577,Asia,Healthcare,None
2017,Kotlin,Library,51.201743252984464,1.2839172026118568,95904,21.63562204951409,Europe,Healthcare,None
2019,C++,Tool,60.69891721731906,6.269260136966697,453795,34.58584678629331,North America,Healthcare,None
2013,JavaScript,Platform,14.439781913669702,2.1535041451286503,751201,41.971135159646714,Africa,Education,None
2015,Java,Database,69.62908467398154,-6.295833757367815,465470,0.34582396567380824,Asia,Education,None
2012,C++,Database,89.07792055016151,-5.116331095998401,104838,25.412470069444737,Europe,Finance,None
2014,JavaScript,IDE,22.371776641474604,-2.5718093839982004,322310,9.557848004916641,South America,Education,None
2017,Python,IDE,53.98855007050909,-0.25895594698447333,877715,3.390354967025716,Asia,Healthcare,None
2016,Rust,Platform,98.97648650752406,7.684118393686603,359118,39.72107640324261,South America,Finance,None
2018,C#,Programming Language,64.41286797085878,-5.066705057805791,223986,0.22953873879808517,Asia,Finance,None
2018,Go,Database,9.325399384847021,8.553638815313146,266841,29.109031319157758,South America,Manufacturing,None
2022,JavaScript,IDE,77.33550176127869,5.469177361093623,312806,23.727894540667826,South America,Healthcare,None
2020,JavaScript,IDE,50.787366640267685,-3.609733492452616,944413,48.68133888282899,Asia,Education,None
2011,Java,Library,11.20147030544063,9.336012633330629,626601,46.904125109712076,North America,IT,None
2016,Python,Library,51.51529471065713,-2.624288122426119,780623,12.012759425881963,Europe,Education,None
2017,Go,Programming Language,75.52396425446616,3.588663584000697,391229,18.30647911523479,Asia,Education,None
2017,C#,Framework,11.714188814948335,8.731075326542978,506398,19.10917366476303,Europe,Healthcare,None
2018,JavaScript,Programming Language,35.62559670265123,5.784267878240614,663189,39.33511643933758,Africa,Manufacturing,None
2011,Rust,Library,8.239634673736884,7.7301354988834206,279108,15.601415716216172,Europe,IT,None
2015,JavaScript,IDE,15.1497060132047,-6.766615478946183,58799,22.15642787715858,South America,Manufacturing,None
2019,Go,IDE,5.249718835547313,2.870421892622568,67794,31.705839486494963,Africa,Healthcare,None
2018,Go,Framework,22.614310275141346,-8.401845882386878,340797,30.408719011479178,Africa,IT,None
2019,Go,Database,45.42323117346425,9.599078670047895,690184,48.56863297851851,South America,IT,None
2014,Kotlin,Platform,79.14209362496743,3.965574006923374,879670,41.51536529573282,North America,Healthcare,None
2013,C++,Programming Language,68.63009074250286,-7.91547167310664,367313,20.60260642857779,Europe,Healthcare,None
2010,Python,Framework,58.75384574390932,5.859997654567586,793280,48.67102599382041,Africa,Manufacturing,None
2013,Swift,Library,98.65937650812535,-0.753842671045506,220314,6.423502658719099,North America,Healthcare,None
2015,Python,Language,46.36946868083427,-8.409643113238353,987122,19.168526197059084,North America,Education,None
2010,C++,Tool,91.51448025866911,6.087373873034547,445843,36.93942987986943,North America,Healthcare,None
2012,C#,Platform,33.66401300812868,-9.2949069813522,243696,25.55117621190741,Asia,Healthcare,None
2013,JavaScript,Database,42.648120614010296,5.90662193096362,474784,6.159140680744374,Africa,Finance,None
2018,JavaScript,Language,39.72680422994747,1.484420286530142,410740,6.846227187846477,Europe,Finance,None
2011,C#,Tool,59.68195136326637,-9.945879010503734,139426,8.176969111791966,Africa,IT,None
2013,JavaScript,Tool,93.20567294968993,-1.0932959881580544,797186,34.858530776254014,Asia,IT,None
2013,Rust,Framework,76.77775936201333,2.2116768105926212,330733,16.706669502758693,North America,Education,None
2013,Java,Tool,83.39456009665605,-5.897593472056224,753626,9.198438195071802,Africa,Manufacturing,None
2017,Rust,Tool,79.21052897493708,-5.27752146187235,125412,45.96105981215945,Europe,Healthcare,None
2010,Go,Framework,95.19003786506816,-8.705528876604768,250651,33.41322434767488,North America,Education,None
2011,C#,Framework,11.42124614382578,3.3946788938234835,684970,3.0370917565617717,Europe,Healthcare,None
2019,Java,Database,81.43974612438903,-6.10971541881206,100993,43.86364026336535,Europe,Education,None
2019,Go,Framework,67.22728246302925,7.221784231417068,335939,48.38042510631514,Africa,IT,None
2010,Go,Framework,3.273788944564582,5.170437245611028,480780,22.53900740182562,North America,IT,None
2020,C++,Library,39.88475267787729,-8.140784538973318,858963,49.29418998957721,Europe,Healthcare,None
2014,C#,Tool,31.845048259413332,1.1534523021445722,544347,48.934284948376934,Africa,Manufacturing,None
2017,Rust,IDE,10.319313158058673,-1.7498195554968383,249887,16.230547368162828,Asia,IT,None
2013,Swift,Framework,30.985250932518905,5.574513484553986,406620,46.142357325337294,Europe,Manufacturing,None
2021,Ruby,Programming Language,11.239108895645023,3.2438174356506426,428193,48.81202210978807,Africa,Manufacturing,None
2012,Python,Platform,0.3860026281241602,-8.436906056974049,142557,35.55607015312756,South America,Healthcare,None
2017,Rust,Framework,88.75996374255635,9.633119723314778,459165,31.78402241458309,Africa,Finance,None
2022,Python,IDE,15.684301490151508,-4.861436729837432,23690,17.892154104089848,Asia,Healthcare,None
2012,Kotlin,Framework,48.78385257602484,-4.888808930475386,132821,37.348731141961494,Asia,Education,None
2010,Ruby,Language,5.540769337256634,-3.904191184172168,345175,45.316265809667826,North America,Manufacturing,None
2010,C#,Platform,81.1902998402396,9.521116119348388,761701,28.100286822758147,North America,Education,None
2014,Python,IDE,75.60736911469796,6.075634359919082,367622,48.83674121328877,Asia,IT,None
2015,C#,Library,81.97570124185005,-8.278969067633655,49761,9.6493312187173,Asia,Finance,None
2015,Go,Language,71.48351060277284,-1.6403368474589524,762343,34.92403752137062,North America,Healthcare,None
2016,Rust,Programming Language,85.04051696273223,7.105712565395908,998098,4.584126761662599,Asia,Healthcare,None
2018,C++,Database,29.732510829231995,-3.015537964969659,645172,2.573984875635288,Africa,IT,None
2014,Go,Framework,27.263545586184378,-4.171719513065213,676008,10.418672752709757,South America,IT,None
2011,Kotlin,Framework,4.215100071891076,2.7880204381581564,657275,7.795989212468207,Europe,Education,None
2014,Java,Platform,97.14800320911682,-2.6465305099104715,72234,13.862493603303678,Asia,IT,None
2019,Ruby,Platform,30.602280738140852,-6.767640485194466,655156,25.232964100963763,Africa,IT,None
2020,JavaScript,Tool,22.74238885718227,-0.3345802111053171,58886,39.077172209809596,Asia,Healthcare,None
2020,Java,IDE,6.825323319311661,6.233921422630615,272041,37.60105007302952,Europe,Education,None
2018,Go,Programming Language,42.98234261666003,6.890479596369328,909102,20.289136710054823,Africa,Finance,None
2011,Swift,Tool,80.86081301296977,2.31309143943837,486389,18.103833637126794,Asia,Finance,None
2011,Ruby,Framework,31.959259138128292,9.982406745368579,902528,35.44107460944919,Asia,IT,None
2017,Python,Programming Language,78.03699991590257,9.693416548986804,702201,31.28249341395547,Europe,IT,None
2019,Java,Tool,77.38884559659282,-5.226102490239574,99613,17.75206651648324,Asia,Healthcare,None
2019,Rust,Database,93.65171444112624,5.418418708626614,28697,49.998547312486416,Africa,Manufacturing,None
2013,Go,Database,25.681303676018686,-6.322091485290649,152335,29.958320888107785,North America,Manufacturing,None
2016,Swift,Programming Language,58.504588588036576,-1.7716686227027623,445339,2.9306873203415797,North America,Healthcare,None
2017,Kotlin,Framework,92.94423735410086,-9.800729608287089,753530,13.507033668228912,South America,Manufacturing,None
2021,Java,Tool,23.484563282690484,-5.971243368390329,114266,41.63040647856769,Africa,IT,None
2012,Go,Tool,13.483200318934486,-5.52763796899312,182788,2.634317871925612,North America,Finance,None
2021,Kotlin,Tool,38.044967546171485,9.755256951179692,6197,30.577131671428837,Asia,Finance,None
2010,C#,Framework,91.04095516782465,-9.16709439929122,694211,12.678685244137444,South America,Education,None
2013,Go,Platform,74.95368211428088,8.917033999342724,871902,28.264656162596395,Europe,Manufacturing,None
2015,Kotlin,Platform,3.747767216897002,6.763838490319216,175252,47.188157744265055,Africa,Healthcare,None
2022,Go,Platform,77.32620606404026,-9.550412570667868,835314,1.522862918443002,South America,Healthcare,None
2019,Kotlin,Database,45.18313522423835,-7.265346804542505,184651,18.575509004485536,Africa,IT,None
2020,C#,Framework,66.63203991386904,2.5806055461354553,356138,18.98273528392321,Africa,IT,None
