Emp_ID,Years_of_Experience,Emp_Rating,Exp_in_Company,Personal_Rating,Client_Feedback_Rating,Appraisal_Percentage,Interaction_Experience_Rating,Normalized_Personal_Rating
E00001,7,2.58,11,7.4,1.09,7.95,18.06,3.7
E00002,20,1.73,9,8.9,2.39,10.95,34.6,4.45
E00003,15,1.63,1,4.3,3.8,6.01,24.45,2.15
E00004,11,4.31,8,1.7,1.36,5.98,47.41,0.85
E00005,8,1.17,2,9.6,4.55,4.82,9.36,4.8
E00006,21,2.68,5,4.9,4.64,8.69,56.28,2.45
E00007,7,1.67,15,6.6,1.42,6.45,11.69,3.3
E00008,19,4.52,5,7.0,4.96,10.23,85.88,3.5
E00009,23,3.23,1,5.9,2.19,7.62,74.29,2.95
E00010,11,1.93,11,2.8,1.34,8.08,21.23,1.4
E00011,11,3.01,12,7.8,1.02,7.15,33.11,3.9
E00012,24,3.93,6,8.2,2.63,9.63,94.32,4.1
E00013,21,4.83,8,6.0,3.52,10.43,101.43,3.0
E00014,4,1.88,11,5.4,2.33,5.64,7.52,2.7
E00015,8,4.54,9,2.0,4.35,7.25,36.32,1.0
E00016,24,4.74,10,1.8,3.87,12.89,113.76,0.9
E00017,3,4.67,0,4.1,2.4,5.45,14.01,2.05
E00018,22,3.54,7,3.8,3.94,13.19,77.88,1.9
E00019,21,3.52,1,9.6,4.76,10.39,73.92,4.8
E00020,2,2.61,13,8.1,1.37,3.19,5.22,4.05
E00021,24,4.01,0,6.9,2.22,9.4,96.24,3.45
E00022,12,3.13,7,5.7,2.85,5.38,37.56,2.85
E00023,6,3.71,1,2.5,2.99,7.73,22.26,1.25
E00024,2,2.71,5,9.8,3.17,8.27,5.42,4.9
E00025,21,3.93,14,4.4,2.2,12.85,82.53,2.2
E00026,1,4.3,5,2.0,3.67,5.67,4.3,1.0
E00027,12,1.59,4,5.4,3.58,6.79,19.08,2.7
E00028,22,4.33,15,8.9,3.31,13.62,95.26,4.45
E00029,12,3.16,7,9.0,1.46,4.26,37.92,4.5
E00030,25,4.38,2,1.1,2.91,10.2,109.5,0.55
E00031,17,2.73,15,9.0,2.42,8.81,46.41,4.5
E00032,10,2.52,12,3.4,2.96,7.9,25.2,1.7
E00033,16,4.66,9,1.4,4.69,9.42,74.56,0.7
E00034,15,2.0,14,8.6,2.92,13.44,30.0,4.3
E00035,15,4.38,3,8.8,1.06,9.78,65.7,4.4
E00036,19,2.94,6,6.4,2.76,9.84,55.86,3.2
E00037,12,3.06,14,6.2,4.28,8.57,36.72,3.1
E00038,23,2.23,15,8.3,4.12,15.8,51.29,4.15
E00039,20,3.29,6,8.1,3.05,9.88,65.8,4.05
E00040,25,2.3,15,9.0,2.0,13.38,57.5,4.5
E00041,3,1.16,12,6.0,2.86,5.02,3.48,3.0
E00042,5,2.09,11,9.7,3.25,5.35,10.45,4.85
E00043,19,1.03,13,10.0,5.0,10.79,19.57,5.0
E00044,7,4.91,7,2.0,3.58,2.46,34.37,1.0
E00045,21,4.86,1,8.6,3.78,6.96,102.06,4.3
E00046,9,2.58,10,5.5,2.97,7.58,23.22,2.75
E00047,7,3.91,11,4.5,2.42,9.93,27.37,2.25
E00048,18,2.38,1,6.5,4.25,8.75,42.84,3.25
E00049,4,3.68,15,1.5,2.98,4.98,14.72,0.75
E00050,25,4.22,3,5.6,4.98,8.46,105.5,2.8
E00051,14,4.79,15,8.8,2.83,12.13,67.06,4.4
E00052,18,2.6,12,2.9,1.27,8.25,46.8,1.45
E00053,9,4.13,9,4.8,3.73,8.66,37.17,2.4
E00054,21,2.06,12,9.5,1.19,11.49,43.26,4.75
E00055,2,4.96,8,4.9,2.0,6.03,9.92,2.45
E00056,20,1.1,9,4.2,2.41,9.21,22.0,2.1
E00057,15,3.41,11,5.0,3.96,10.12,51.15,2.5
E00058,7,3.64,8,5.7,2.98,6.08,25.48,2.85
E00059,12,3.75,12,6.7,1.11,7.12,45.0,3.35
E00060,8,1.48,12,8.2,3.47,4.98,11.84,4.1
E00061,15,4.75,3,5.1,2.65,3.27,71.25,2.55
E00062,3,1.72,8,8.4,4.69,4.6,5.16,4.2
E00063,14,3.49,14,5.8,3.0,12.61,48.86,2.9
E00064,17,1.89,13,4.0,3.84,11.08,32.13,2.0
E00065,4,2.23,2,6.9,1.88,4.01,8.92,3.45
E00066,18,3.19,11,7.5,4.04,8.97,57.42,3.75
E00067,8,2.67,4,6.0,3.88,7.64,21.36,3.0
E00068,4,1.64,9,1.5,4.62,4.49,6.56,0.75
E00069,2,1.68,8,2.5,1.14,6.5,3.36,1.25
E00070,6,2.67,15,3.6,2.79,4.82,16.02,1.8
E00071,22,4.03,5,3.5,3.72,8.81,88.66,1.75
E00072,10,4.59,2,7.1,1.38,4.53,45.9,3.55
E00073,4,1.34,9,1.2,2.64,1.22,5.36,0.6
E00074,22,2.57,8,7.8,4.77,9.09,56.54,3.9
E00075,18,1.4,5,3.4,2.74,8.05,25.2,1.7
E00076,12,1.07,3,3.8,4.94,4.57,12.84,1.9
E00077,2,3.65,15,5.8,1.23,-1.83,7.3,2.9
E00078,10,3.41,13,2.9,3.87,10.18,34.1,1.45
E00079,4,1.65,3,9.0,3.32,0.66,6.6,4.5
E00080,14,1.94,15,1.8,3.0,9.93,27.16,0.9
E00081,16,1.09,7,5.0,4.88,8.17,17.44,2.5
E00082,15,4.34,6,8.6,1.52,12.83,65.1,4.3
E00083,8,4.9,0,6.5,4.58,7.92,39.2,3.25
E00084,14,1.54,15,3.6,3.76,7.92,21.56,1.8
E00085,23,1.93,5,4.8,2.04,8.16,44.39,2.4
E00086,25,4.47,7,7.4,4.61,15.36,111.75,3.7
E00087,8,4.71,2,9.8,2.72,3.26,37.68,4.9
E00088,21,2.68,13,9.0,4.26,12.11,56.28,4.5
E00089,16,1.2,8,4.1,2.56,7.54,19.2,2.05
E00090,13,1.16,9,10.0,4.4,7.36,15.08,5.0
E00091,18,3.3,1,1.0,3.55,8.44,59.4,0.5
E00092,15,2.57,13,1.2,1.56,8.94,38.55,0.6
E00093,21,1.11,5,8.4,3.6,10.22,23.31,4.2
E00094,24,3.33,11,2.8,1.77,11.64,79.92,1.4
E00095,25,1.05,0,1.5,2.65,9.44,26.25,0.75
E00096,13,4.15,11,3.1,1.68,8.59,53.95,1.55
E00097,9,2.23,10,4.8,1.09,4.97,20.07,2.4
E00098,15,1.16,14,7.6,1.85,8.9,17.4,3.8
E00099,13,3.35,1,6.6,3.15,5.3,43.55,3.3
E00100,1,2.59,15,3.1,2.93,3.67,2.59,1.55
E00101,25,4.9,15,5.5,3.01,12.94,122.5,2.75
E00102,7,3.18,12,9.3,1.99,6.86,22.26,4.65
E00103,9,2.1,4,8.3,3.74,5.99,18.9,4.15
E00104,24,3.84,0,3.9,3.82,11.72,92.16,1.95
E00105,1,2.09,7,9.8,2.43,3.01,2.09,4.9
E00106,12,4.62,0,7.4,4.52,7.49,55.44,3.7
E00107,8,2.5,12,1.6,3.58,6.91,20.0,0.8
E00108,24,3.2,8,1.3,3.85,9.76,76.8,0.65
E00109,11,1.2,9,2.5,2.11,6.4,13.2,1.25
E00110,19,2.7,10,7.6,1.0,11.75,51.3,3.8
E00111,17,4.33,2,2.7,4.46,8.77,73.61,1.35
E00112,8,4.22,15,5.6,4.29,8.96,33.76,2.8
E00113,3,1.9,11,1.8,1.49,2.93,5.7,0.9
E00114,3,1.9,1,9.3,2.5,7.23,5.7,4.65
E00115,1,4.27,14,4.1,3.65,4.65,4.27,2.05
E00116,5,4.72,0,9.2,3.61,1.69,23.6,4.6
E00117,10,1.38,8,9.5,4.44,8.71,13.8,4.75
E00118,7,2.8,15,1.1,1.56,6.41,19.6,0.55
E00119,9,2.35,14,5.2,2.72,6.9,21.15,2.6
E00120,7,4.48,3,1.2,1.39,3.8,31.36,0.6
E00121,9,1.33,11,9.2,2.56,10.61,11.97,4.6
E00122,8,1.84,0,5.7,1.06,4.63,14.72,2.85
E00123,12,4.01,0,1.7,4.59,7.39,48.12,0.85
E00124,2,1.21,6,2.0,3.11,3.43,2.42,1.0
E00125,1,2.97,15,4.5,4.4,6.36,2.97,2.25
E00126,16,2.77,1,9.5,1.24,10.1,44.32,4.75
E00127,23,2.34,6,7.2,1.91,9.64,53.82,3.6
E00128,23,2.58,11,8.8,2.04,8.51,59.34,4.4
E00129,24,3.12,14,4.3,2.55,13.92,74.88,2.15
E00130,5,1.65,6,1.4,4.21,5.34,8.25,0.7
E00131,3,3.29,14,9.8,2.55,6.72,9.87,4.9
E00132,12,4.22,9,1.2,1.82,8.51,50.64,0.6
E00133,8,4.04,13,9.5,1.26,7.08,32.32,4.75
E00134,22,1.62,8,4.3,1.32,9.58,35.64,2.15
E00135,3,1.6,12,1.1,4.04,4.59,4.8,0.55
E00136,1,2.07,15,7.2,2.78,4.22,2.07,3.6
E00137,3,2.44,6,9.8,3.9,7.21,7.32,4.9
E00138,5,2.63,15,9.7,3.73,4.44,13.15,4.85
E00139,15,3.72,12,2.4,1.54,13.66,55.8,1.2
E00140,14,1.23,13,2.6,1.57,9.62,17.22,1.3
E00141,3,1.14,0,6.1,4.02,-0.79,3.42,3.05
E00142,1,2.57,11,6.7,3.89,4.53,2.57,3.35
E00143,5,3.79,12,7.7,2.51,6.35,18.95,3.85
E00144,23,1.77,15,2.6,1.31,11.91,40.71,1.3
E00145,14,3.57,7,9.6,1.05,6.22,49.98,4.8
E00146,7,2.04,7,6.7,2.15,5.48,14.28,3.35
E00147,9,4.54,3,8.6,1.04,5.94,40.86,4.3
E00148,15,4.58,12,5.9,1.92,8.23,68.7,2.95
E00149,15,2.19,7,4.7,2.68,6.03,32.85,2.35
E00150,10,1.92,3,9.8,1.49,7.48,19.2,4.9
E00151,13,2.65,14,6.2,1.42,5.27,34.45,3.1
E00152,19,1.96,7,8.8,4.59,10.64,37.24,4.4
E00153,7,3.69,4,9.6,3.34,7.6,25.83,4.8
E00154,17,4.3,3,7.1,4.74,8.64,73.1,3.55
E00155,20,3.69,5,5.9,2.38,9.65,73.8,2.95
E00156,4,4.3,1,1.0,3.71,6.29,17.2,0.5
E00157,5,2.59,11,1.4,1.82,3.83,12.95,0.7
E00158,23,1.63,1,2.8,3.47,7.52,37.49,1.4
E00159,7,3.95,1,2.7,1.52,3.46,27.65,1.35
E00160,13,2.44,8,3.3,1.01,9.34,31.72,1.65
E00161,15,3.69,14,3.7,4.73,12.68,55.35,1.85
E00162,11,2.08,13,4.2,3.22,5.0,22.88,2.1
E00163,4,1.32,9,4.8,4.71,6.96,5.28,2.4
E00164,13,4.97,2,1.9,2.34,8.58,64.61,0.95
E00165,7,1.62,14,1.4,2.31,9.26,11.34,0.7
E00166,19,4.95,9,7.1,2.6,11.48,94.05,3.55
E00167,22,4.91,3,5.8,3.82,10.42,108.02,2.9
E00168,2,4.18,9,5.0,3.26,7.51,8.36,2.5
E00169,10,3.64,11,6.7,4.7,9.66,36.4,3.35
E00170,13,3.31,7,8.4,1.1,12.17,43.03,4.2
E00171,25,4.46,3,4.8,3.83,13.05,111.5,2.4
E00172,21,2.16,10,6.8,2.32,10.62,45.36,3.4
E00173,6,2.87,9,9.6,1.72,3.7,17.22,4.8
E00174,12,3.48,9,8.6,3.04,7.1,41.76,4.3
E00175,12,2.64,12,4.8,3.02,5.27,31.68,2.4
E00176,20,2.71,6,6.8,1.55,8.84,54.2,3.4
E00177,11,2.32,4,2.6,1.81,7.5,25.52,1.3
E00178,23,3.26,8,6.0,2.63,10.92,74.98,3.0
E00179,25,4.4,3,9.8,2.64,13.41,110.0,4.9
E00180,7,1.81,2,5.7,2.27,4.92,12.67,2.85
E00181,1,4.74,12,9.3,1.59,5.04,4.74,4.65
E00182,1,3.76,1,4.7,1.02,2.85,3.76,2.35
E00183,25,4.29,0,10.0,4.88,12.14,107.25,5.0
E00184,25,3.22,10,6.2,4.77,12.64,80.5,3.1
E00185,20,4.12,5,1.4,2.93,9.68,82.4,0.7
E00186,13,1.06,9,6.3,4.98,6.21,13.78,3.15
E00187,9,4.27,1,3.5,3.69,4.83,38.43,1.75
E00188,3,1.16,7,1.3,1.28,7.67,3.48,0.65
E00189,7,4.56,5,8.4,1.47,8.51,31.92,4.2
E00190,6,4.97,11,3.5,4.66,4.32,29.82,1.75
E00191,8,2.18,11,8.2,3.52,2.26,17.44,4.1
E00192,9,1.84,4,3.6,4.37,5.62,16.56,1.8
E00193,5,4.06,12,2.7,4.59,8.5,20.3,1.35
E00194,1,2.01,1,9.8,2.79,1.8,2.01,4.9
E00195,19,4.46,6,4.3,1.19,11.4,84.74,2.15
E00196,10,1.41,1,6.4,1.75,4.87,14.1,3.2
E00197,12,1.5,12,6.5,1.27,7.18,18.0,3.25
E00198,24,4.92,13,6.0,1.75,14.23,118.08,3.0
E00199,15,3.7,4,9.2,2.64,7.16,55.5,4.6
E00200,22,4.39,1,7.1,1.47,8.99,96.58,3.55
E00201,24,2.3,10,4.6,1.67,12.25,55.2,2.3
E00202,9,3.71,9,8.8,2.78,7.36,33.39,4.4
E00203,20,3.38,10,2.6,2.36,13.9,67.6,1.3
E00204,17,3.41,10,5.9,2.87,11.02,57.97,2.95
E00205,17,3.73,1,9.6,2.72,9.55,63.41,4.8
E00206,20,3.3,14,6.6,3.58,11.4,66.0,3.3
E00207,12,2.72,6,8.4,4.75,9.43,32.64,4.2
E00208,7,2.1,8,6.9,1.43,4.87,14.7,3.45
E00209,2,4.07,4,8.6,1.4,4.73,8.14,4.3
E00210,3,1.91,6,9.5,4.41,2.86,5.73,4.75
