Job ID,Job Title,Company,Location,Experience Required (Years),Skills,Employment Type,Salary ($)
0,Software Engineer,Innovate LLC,Austin,6,"CSS, Responsive Design, JavaScript",Contract,78137
1,Software Engineer,Data Inc,Remote,2,"CSS, Responsive Design, HTML",Part-time,109616
2,Project Manager,Tech Corp,Austin,2,"HTML, JavaScript, Responsive Design",Full-time,82550
3,Software Engineer,Tech Corp,Austin,1,"Collaboration, Adobe XD, Usability Testing",Contract,79119
4,Project Manager,Data Inc,New York,1,"Agile, Project Management, Communication",Contract,88562
5,Web Developer,Creative Solutions,Chicago,4,"Communication, Leadership, Agile",Full-time,89253
6,Software Engineer,Creative Solutions,New York,5,"Problem-Solving, Data Visualization, SQL",Full-time,115731
7,UX Designer,Data Inc,Chicago,2,"Django, Python, SQL",Full-time,64815
8,UX Designer,Data Inc,New York,10,"Problem-Solving, Excel, SQL",Contract,111843
9,Software Engineer,Tech Corp,Chicago,3,"Wireframing, Usability Testing, Adobe XD",Contract,68395
10,Web Developer,Creative Solutions,Austin,5,"Problem-Solving, Data Visualization, SQL",Part-time,148997
11,Web Developer,NextGen Tech,Austin,5,"Project Management, Agile, Communication",Full-time,88557
12,Software Engineer,Creative Solutions,San Francisco,3,"Problem-Solving, Excel, Data Visualization",Full-time,91392
13,Software Engineer,NextGen Tech,Remote,3,"Problem-Solving, Excel, Data Visualization",Contract,67363
14,UX Designer,Data Inc,Chicago,9,"Leadership, Communication, Project Management",Part-time,92080
15,Software Engineer,Creative Solutions,Austin,10,"Adobe XD, Usability Testing, Wireframing",Part-time,73046
16,Web Developer,Creative Solutions,Remote,10,"Responsive Design, HTML, CSS",Part-time,75636
17,Web Developer,Data Inc,Austin,2,"HTML, CSS, Responsive Design",Contract,127626
18,Software Engineer,Innovate LLC,Chicago,3,"Agile, Leadership, Project Management",Full-time,125525
19,Software Engineer,Data Inc,Austin,4,"SQL, Django, Python",Part-time,50654
20,Software Engineer,Data Inc,Austin,10,"HTML, Responsive Design, JavaScript",Full-time,113821
21,Software Engineer,NextGen Tech,Chicago,9,"Communication, SQL, Python",Full-time,57832
22,Web Developer,Innovate LLC,New York,10,"Problem-Solving, Excel, SQL",Contract,132847
