ClientID,Industry,MonthlySpend,TicketsRaised,SLACompliance,CSAT,OnboardingScore,RenewalLikelihood,AccountAgeMonths,Region,IsEnterprise,Churned
10001,Tech,32095.447523652798,6.0,77.7015982573999,,82.61631123364711,0.6254547233211463,46,Middle East,1,1
10002,Manufacturing,63787.31260415002,5.0,77.69403072997963,3.948368432128052,49.195297739146945,0.6307347730217276,6,Middle East,1,0
10003,Healthcare,65008.734770644674,7.0,87.49345984880281,4.780608677435501,83.73929770873224,0.6645405169769761,20,Europe,0,0
10004,Manufacturing,39940.69686385033,3.0,80.24413397365086,4.716021732869945,67.69168648601752,0.40533744603642996,19,APAC,1,0
10005,Manufacturing,70886.97950096492,8.0,95.72196592999836,4.819235999379588,42.02607614107522,0.7689543884585022,14,North America,0,1
10006,Finance,46249.302281015705,6.0,99.65633557709494,3.0544346441388326,54.06949323978995,0.6968744459469733,65,APAC,0,0
10007,Healthcare,54330.40443919785,9.0,80.29895215790346,4.293757594409737,41.54538350443468,0.8293592190956831,29,APAC,0,0
10008,Healthcare,53904.82758156831,7.0,91.15180821061033,4.023061249808754,67.41247131946263,0.7764395037294529,31,Europe,1,0
10009,Healthcare,47985.368877941786,5.0,89.72459745761107,4.334576594586518,59.55278563330512,0.6789291728780469,25,North America,0,1
10010,Manufacturing,62162.124097396736,9.0,75.83387463196844,3.158448409795718,99.24697359479508,0.32066911318219926,71,Europe,0,0
10011,Tech,61902.33080828319,9.0,97.54025784461902,4.2370226785957446,92.11024701741178,0.8893604924066225,46,North America,0,0
10012,Healthcare,23772.02040142729,12.0,75.98327761565204,3.5245712881359674,89.54025162058896,0.4754091360373613,52,Latin America,0,0
10013,Manufacturing,69565.10364317229,6.0,92.10871395009096,4.585229490765751,70.06699294187473,0.9232239263875717,16,Latin America,0,0
10014,Finance,25062.620179464884,6.0,80.42828926822938,4.488414312904433,,0.5014031015004103,11,Middle East,1,0
10015,Tech,65488.19306512486,8.0,81.01244701026914,3.028394027147293,56.01217884776531,0.3094537195123781,18,Europe,0,0
10016,Finance,66900.57705241375,8.0,83.6634715866688,2.9596381910082576,73.63896807079149,0.8636298106247511,56,Latin America,1,0
10017,Tech,33635.50354677203,12.0,,4.294329303212165,63.5750836791646,0.796294055096529,56,APAC,0,0
10018,Manufacturing,43837.78568068123,10.0,74.20755824533636,3.8761872368204013,50.280514691363784,0.7897220420848547,57,APAC,0,0
10019,Retail,,11.0,71.63708733504262,3.8930147767051224,44.35680588210424,0.2670580630483386,69,Latin America,1,0
10020,Tech,46776.18454566897,9.0,82.06122456741345,4.3812883086483865,73.49310297829689,0.8594598747889752,66,Europe,0,1
10021,Finance,,5.0,71.66755297426265,4.637426982554475,45.85834809281237,0.6473004778721458,16,Middle East,0,1
10022,Manufacturing,61694.907984040095,6.0,90.62802649172322,3.0974097515217918,83.08018580115893,0.5527668022047152,6,APAC,1,0
10023,Tech,69654.63119179412,8.0,92.8097522508164,3.8888488669763754,95.28810872356934,0.8848787160598539,52,Middle East,0,0
10024,Retail,70935.25716184934,6.0,95.64137184259776,4.572386773730193,49.72636658269366,0.6995310143614553,55,APAC,0,0
10025,Retail,41567.47960132547,10.0,,4.681985427987506,68.2563147106137,0.2997731178897395,49,North America,0,1
10026,Healthcare,46861.671893832085,,97.49054181078037,3.2185234708462915,84.32647558358951,0.5896528820425277,56,Latin America,0,1
10027,Healthcare,24748.427116685747,7.0,92.44903368169666,2.7603846414937814,57.210379661981605,0.677462441635672,41,Europe,0,0
10028,Finance,37911.94900255717,8.0,98.08226919635204,3.08205813469445,95.24587117797623,0.8739130232987256,71,APAC,1,0
10029,Tech,64472.77449646186,12.0,75.7933238262809,4.863748785036318,93.30793353219465,0.4099205762561751,56,Latin America,0,0
10030,Tech,74233.74235322347,8.0,84.9958939860319,3.6561992810880355,46.22526134378067,0.7956754142355615,63,Middle East,0,0
10031,Healthcare,31484.76692180117,8.0,99.81791799114725,3.546434476390062,41.64398629191041,0.7998596778760596,28,Europe,1,0
