CustomerID,Age,Gender,AnnualIncome,TotalPurchases,AvgTransactionValue,VisitsPerMonth,OnlineUser,MembershipLevel,Churned
10001,56,Female,2499782,38,36731.3,10,0,Bronze,0
10002,69,Other,1771801,32,13679.74,9,0,Gold,0
10003,46,Other,2218391,20,22596.08,13,1,Silver,0
10004,32,Male,868875,48,44191.71,3,1,Platinum,1
10005,60,Male,795983,2,48536.46,3,0,Gold,1
10006,25,Male,453078,20,21401.23,1,0,Bronze,0
10007,38,Female,568893,47,41789.69,2,1,Gold,0
10008,56,Female,1404552,18,2951.45,11,1,Silver,0
10009,36,Female,915295,1,42424.43,14,0,Platinum,0
10010,40,Male,2078798,29,31586.66,10,1,Platinum,0
10011,28,Other,1192652,29,24588.7,7,1,Gold,1
10012,28,Other,1254212,19,44531.2,1,1,Platinum,0
10013,41,Female,2280563,44,42313.26,7,0,Silver,1
10014,53,Female,2168972,40,15058.17,15,1,Platinum,0
10015,57,Other,483816,6,39636.97,11,1,Platinum,0
10016,41,Other,2040820,44,5244.7,6,1,Platinum,1
10017,20,Female,721393,39,41191.37,7,1,Silver,1
10018,39,Female,1249230,46,33870.14,7,0,Bronze,0
10019,19,Other,325851,8,4666.96,1,1,Platinum,1
10020,41,Male,866978,24,34249.08,10,1,Bronze,1
10021,61,Female,994878,20,29151.81,15,1,Gold,0
10022,47,Other,2253262,14,29849.14,8,0,Gold,0
10023,55,Other,2137135,5,14755.94,19,0,Silver,0
10024,19,Other,2455424,41,13544.91,3,0,Silver,1
10025,38,Other,426179,40,38198.0,15,1,Silver,0
10026,50,Male,1074506,34,13063.63,4,1,Silver,0
10027,29,Other,2272171,16,22479.23,6,1,Bronze,1
10028,39,Female,1965401,45,34831.01,10,0,Silver,0
10029,61,Male,1466084,7,4256.93,18,1,Bronze,1
10030,42,Other,1891286,16,29849.05,16,1,Platinum,1
10031,66,Male,550036,7,29592.01,18,0,Platinum,0
10032,44,Female,2336300,27,34306.17,6,1,Gold,1
10033,59,Other,2117936,14,18685.43,19,1,Gold,1
10034,45,Female,1400346,14,22614.29,17,0,Bronze,0
10035,33,Other,685287,44,16699.47,18,0,Silver,1
10036,32,Other,2219990,33,40465.96,13,0,Gold,0
10037,64,Other,1960399,33,6791.35,7,0,Bronze,0
10038,68,Other,495901,44,48158.81,12,0,Gold,0
10039,61,Other,2375164,20,31851.36,2,1,Silver,0
10040,69,Male,2141758,47,44379.26,12,0,Bronze,0
10041,20,Other,2353268,36,21483.7,12,1,Gold,1
10042,54,Other,2441385,7,16814.27,4,1,Silver,1
10043,68,Male,1280728,32,45066.07,4,0,Bronze,1
10044,24,Male,2403531,48,5213.99,18,0,Bronze,0
10045,38,Male,1475481,3,6120.23,16,1,Bronze,0
10046,26,Male,1269412,39,15177.53,14,1,Platinum,0
10047,56,Male,421439,29,48000.82,17,1,Bronze,0
10048,35,Male,2232623,24,31763.51,17,0,Gold,1
10049,21,Other,1435296,22,27843.43,3,1,Bronze,1
10050,42,Other,2272072,6,35356.21,6,0,Bronze,0
10051,31,Female,1390411,48,21048.49,13,1,Bronze,0
10052,67,Other,817397,24,37976.25,9,1,Bronze,0
10053,26,Other,1391605,40,19843.57,9,1,Bronze,1
10054,43,Male,597595,23,41370.25,8,0,Platinum,1
