Customer_ID,Age,Income,Spending_Score,Location_Latitude,Location_Longitude,Sales_Rate,Education_Level,Marital_Status,Employment_Status,House_Ownership,Family_Size,Online_Shopping_Frequency
1,56,124407,11,29.422498142896657,-134.45075652639193,12,Master,Married,Retired,Rented,1,13
2,69,149045,90,66.82912337113103,39.71080135443452,297,Master,Single,Unemployed,Rented,4,2
3,46,37857,17,58.946572756261105,178.5263905390832,105,Master,Divorced,Retired,Owned,1,15
4,32,39627,88,-25.17881121197931,34.39825244369487,207,High School,Married,Retired,Rented,3,24
5,60,81822,92,18.02230918910938,102.913785213518,65,Master,Single,Self-Employed,Rented,2,45
6,25,104101,99,-61.87295883395599,96.86213041722152,63,Master,Single,Employed,Rented,2,46
7,38,111561,31,6.394658885207917,-53.88569068596172,178,Bachelor,Divorced,Employed,Owned,1,2
8,56,72248,77,-48.5240450734193,-46.134251026574816,431,Bachelor,Divorced,Employed,Mortgaged,4,33
9,36,75798,35,43.87262669144022,80.66751184454517,8,PhD,Single,Employed,Owned,5,2
10,40,113368,16,5.050515940582429,-0.005928622259375516,159,Master,Married,Unemployed,Mortgaged,3,40
11,28,64116,79,-15.979074726301107,25.405455286939684,11,High School,Divorced,Retired,Rented,3,28
12,28,95318,18,-41.61652268994404,76.64608453134156,273,PhD,Single,Employed,Mortgaged,2,39
13,41,124186,62,89.76572673143164,99.92700973405806,411,PhD,Single,Retired,Owned,4,18
14,53,147119,27,-77.09210624071211,-82.25403201609431,380,PhD,Married,Unemployed,Owned,5,19
15,57,107902,35,-82.1590774969644,-127.15424660269335,95,Master,Widowed,Unemployed,Owned,2,20
16,41,48557,45,-50.89366791110438,-74.95392717945892,155,PhD,Married,Unemployed,Rented,4,19
17,20,91334,35,84.79304255300752,2.7137970331471877,206,High School,Single,Retired,Mortgaged,5,27
18,39,95163,28,86.2628702975972,-56.829125773065925,115,Bachelor,Married,Employed,Owned,1,46
19,19,126719,9,27.886992258984478,24.61059318513378,379,Bachelor,Divorced,Retired,Owned,4,26
20,41,143099,76,68.41920009715284,-160.75233931477376,87,Master,Single,Employed,Owned,3,43
21,61,98002,15,-51.48688844865683,3.5101481809562074,312,High School,Married,Self-Employed,Rented,4,45
22,47,62614,21,84.96757695179224,-47.52543350242516,197,High School,Married,Employed,Owned,4,49
23,55,32720,52,-64.29872697487836,12.480031761437658,350,High School,Married,Employed,Rented,4,24
24,19,77608,35,-71.7974661273015,-27.88799224140837,98,Master,Married,Employed,Rented,5,1
25,38,127449,97,-69.80192293549088,-77.67869377048471,431,High School,Single,Unemployed,Owned,5,42
26,50,122828,51,13.16302618906164,145.47884596474887,19,Bachelor,Married,Self-Employed,Rented,1,23
27,29,146613,83,50.57539212924942,-113.4846041683115,313,High School,Divorced,Employed,Rented,1,32
28,39,92095,55,-23.999907982566043,65.29160720900148,415,High School,Widowed,Self-Employed,Owned,5,18
29,61,125924,87,86.02127780150278,152.87209652966908,16,Master,Widowed,Retired,Owned,5,25
30,42,104694,77,-11.804375138700692,13.921185486755917,45,PhD,Widowed,Retired,Mortgaged,2,45
31,66,116452,44,-62.91926086082107,135.50705588861354,155,PhD,Divorced,Unemployed,Owned,4,40
32,44,107593,65,-6.125985326495396,-135.05346776401763,445,Master,Widowed,Retired,Mortgaged,4,2
33,59,55892,93,32.22668977603918,-2.2360427076930876,410,Master,Single,Self-Employed,Mortgaged,3,26
34,45,126975,88,59.80064049078817,-15.470899026861815,231,Master,Single,Self-Employed,Mortgaged,5,13
35,33,97242,80,-7.421707807813277,-177.07722946668184,157,Master,Divorced,Self-Employed,Owned,5,19
36,32,136041,25,16.849228688850147,-20.427357110639576,113,High School,Divorced,Self-Employed,Mortgaged,1,34
37,64,146202,87,-41.8779518114064,-47.149287702264786,499,High School,Single,Self-Employed,Mortgaged,1,22
38,68,97606,92,26.264974752992515,61.12754199886152,377,PhD,Divorced,Unemployed,Mortgaged,4,24
39,61,143769,47,87.47494991106186,157.7987202875467,359,Master,Divorced,Employed,Owned,4,3
40,69,138542,80,-81.1703569341971,-149.11520822566686,383,Master,Single,Retired,Owned,5,1
41,20,126438,56,69.5755207269302,-62.10850078273569,44,High School,Single,Self-Employed,Owned,4,1
42,54,20924,38,11.210850498154102,-20.13669453806932,365,Master,Married,Retired,Owned,5,24
43,68,71322,11,-44.622241278786014,-16.133263907622023,413,Bachelor,Married,Unemployed,Rented,3,46
44,24,46478,67,81.88014780166642,98.93149950321134,365,High School,Widowed,Unemployed,Owned,3,22
45,38,91042,15,-2.996225449398196,-20.377560299961317,110,Bachelor,Divorced,Employed,Mortgaged,2,20
46,26,66418,1,-30.29575469879059,-170.2219314766848,111,High School,Single,Unemployed,Owned,1,44
47,56,82217,7,-57.330426911248594,75.63747405341928,223,High School,Widowed,Employed,Rented,2,24
48,35,120699,1,-45.998602153800825,138.53869025244182,386,High School,Married,Self-Employed,Rented,3,26
49,21,110140,49,59.91282748645966,5.005696517882228,390,PhD,Divorced,Unemployed,Rented,4,10
50,42,100846,96,20.593801677089843,29.19906781146193,265,PhD,Widowed,Retired,Owned,1,13
51,31,93762,73,74.38421150789688,-121.34288197114341,271,High School,Divorced,Unemployed,Rented,1,16
52,67,31781,29,-48.24567861159855,-100.56745991557547,212,High School,Widowed,Unemployed,Rented,2,14
53,26,25515,26,-68.19505670719774,-95.33871391513976,496,High School,Divorced,Self-Employed,Rented,1,45
54,43,137358,87,-88.9042444243938,-24.932889042733706,314,High School,Divorced,Employed,Owned,3,30
55,19,56133,45,1.4151667708788835,154.13227952243113,258,Master,Single,Employed,Rented,4,33
56,37,102508,93,89.69524746875786,7.8425160173589745,387,Master,Divorced,Unemployed,Rented,2,35
57,45,117628,97,35.09374838735501,-110.84484772751306,247,Master,Married,Retired,Mortgaged,4,39
58,64,96946,71,-34.488973446273704,-84.20841508717814,436,PhD,Single,Unemployed,Mortgaged,2,43
59,24,105058,12,67.8345449447109,-41.75458929821366,55,Bachelor,Divorced,Retired,Mortgaged,5,12
60,61,29095,95,50.71000787783274,44.37323124940778,309,High School,Married,Self-Employed,Rented,1,17
61,25,108583,32,-87.22527010622294,-21.588064918558075,350,Master,Married,Self-Employed,Mortgaged,5,16
62,64,40470,20,57.034886497384036,-38.71985609630701,72,Master,Widowed,Employed,Owned,1,44
63,52,63129,51,-35.905183697070726,23.302296143638102,296,Master,Single,Retired,Mortgaged,5,43
64,31,28531,81,-63.058776374951805,-92.93940181639243,213,High School,Single,Unemployed,Owned,4,38
65,34,57038,36,-49.26044884732658,-151.5948218695504,295,High School,Widowed,Unemployed,Mortgaged,3,27
66,53,107939,67,-5.6556352124749765,-171.21084666400003,171,Bachelor,Widowed,Unemployed,Mortgaged,2,25
67,67,62674,1,-13.52377312775802,-89.54670115183426,246,PhD,Widowed,Unemployed,Mortgaged,1,47
68,57,147572,27,-38.00028611263919,-147.02686770799127,141,Bachelor,Single,Self-Employed,Owned,2,13
