Size,Bedrooms,Bathrooms,Garage,Age,DistanceToCity,CrimeRate,SchoolRating,Price
1698,2,2,0,43,0.92,9.86,9,63.03
1444,3,2,0,32,6.63,7.14,5,55.49
1759,5,2,0,48,3.86,8.26,6,67.4
2109,4,1,1,35,1.22,0.9,8,93.59
1406,3,1,1,3,1.86,3.0,5,78.6
1406,3,1,2,22,17.0,0.58,3,61.67
2131,4,2,0,24,9.44,3.72,4,77.69
1806,1,4,1,40,10.6,9.81,8,60.87
1312,4,1,0,25,3.08,1.05,3,59.6
1717,4,3,1,27,4.89,5.62,5,72.02
1314,2,3,0,27,2.36,0.06,6,68.48
1313,2,2,2,20,0.5,7.13,8,69.0
1596,5,2,1,9,2.56,1.97,9,93.18
734,3,3,1,26,4.51,1.3,5,50.96
810,1,1,0,14,1.69,3.37,9,58.34
1275,3,2,1,16,9.42,7.71,3,54.41
1094,3,2,1,38,0.82,1.07,3,55.22
1625,3,2,0,34,2.29,2.3,9,73.46
1136,4,3,1,4,0.67,0.08,6,72.38
935,5,1,2,15,2.59,9.68,3,51.12
2086,3,2,1,22,0.5,5.92,6,79.01
1409,3,2,2,38,1.59,7.2,7,55.22
1527,3,2,2,47,2.56,6.51,8,62.45
930,3,2,2,8,3.25,1.44,8,62.27
1282,2,2,1,32,3.92,5.95,6,55.06
1544,5,3,1,34,1.61,1.31,8,80.79
1039,4,2,1,39,3.7,4.01,6,49.1
1650,3,3,1,49,3.56,5.69,6,63.56
1259,3,2,2,23,1.9,5.59,7,63.84
1383,2,1,0,23,8.87,1.19,5,56.87
1259,3,1,1,49,3.94,0.34,2,54.32
2240,3,1,0,23,2.02,7.98,5,73.37
1494,3,2,0,18,14.72,7.26,6,69.96
1076,5,2,0,38,9.33,0.82,3,55.46
1829,3,3,1,24,20.25,1.27,3,78.45
1011,3,3,0,30,5.89,8.93,4,45.6
1583,4,1,1,37,2.38,7.69,1,56.45
716,2,2,1,24,1.65,9.96,7,33.66
968,3,2,0,26,5.44,2.54,4,50.79
1578,3,2,0,31,19.77,4.88,3,59.52
1795,3,1,1,10,4.93,2.36,7,81.63
1568,4,1,1,4,10.67,6.23,8,76.65
1453,3,3,2,43,2.0,1.15,1,53.31
1379,4,3,2,32,2.61,1.27,4,65.62
908,3,1,2,18,11.84,0.72,9,54.05
1212,3,2,1,42,7.07,6.94,5,55.02
1315,4,2,2,46,19.93,4.94,9,45.79
1922,2,3,2,15,7.45,6.18,4,80.96
1637,2,2,2,34,2.98,8.79,4,67.61
794,3,1,0,10,3.79,7.4,4,49.15
1629,3,3,2,10,11.54,4.62,2,79.68
1345,1,2,1,9,4.01,9.84,8,68.93
1229,3,2,1,33,1.47,4.56,10,63.38
1744,3,2,0,4,2.86,1.12,9,94.79
1912,3,2,1,22,3.63,9.93,8,77.42
1872,5,2,0,24,0.51,0.23,8,95.96
1164,3,2,0,28,6.81,5.5,7,56.57
1376,4,2,0,39,0.58,3.09,8,74.94
1632,2,1,2,12,2.6,5.04,4,74.06
1890,3,3,0,46,8.16,5.59,5,62.57
1308,4,1,1,31,3.15,2.4,6,67.34
1425,3,1,0,33,9.23,5.57,8,62.33
1057,4,2,1,11,2.09,7.56,7,56.22
1021,3,3,0,23,15.81,2.67,8,50.31
1825,2,3,0,39,1.18,3.83,6,78.27
2042,3,2,1,20,0.5,2.68,7,89.72
1471,3,2,1,28,10.3,8.21,10,60.4
1901,4,3,0,22,6.98,7.25,3,72.66
1644,2,2,0,32,1.32,8.71,9,66.82
1241,5,2,0,7,20.91,1.7,6,72.14
1644,5,3,2,41,3.49,0.74,6,82.11
2115,2,1,1,12,15.09,1.19,8,88.11
1485,3,4,1,4,3.52,1.61,5,89.47
2125,4,3,0,40,3.19,5.33,5,86.01
500,5,2,1,9,2.98,9.71,6,46.51
1828,3,3,0,13,2.04,3.57,1,84.76
1534,3,3,0,23,3.81,9.59,6,60.66
1380,3,1,1,10,3.01,0.38,4,69.03
1536,3,2,1,45,0.5,9.27,9,58.03
704,3,1,0,2,1.51,1.81,2,56.7
1412,4,2,1,28,1.2,9.12,6,55.18
1642,2,3,2,47,10.1,0.56,9,64.29
2091,1,2,1,29,4.57,9.48,9,67.36
1292,3,2,1,48,7.21,2.01,7,50.06
1176,3,2,2,36,15.71,3.03,6,47.73
1299,3,3,2,6,5.16,4.91,4,69.55
1866,3,1,1,16,20.26,3.81,5,67.48
1631,3,2,1,19,1.87,6.68,2,71.08
1288,2,1,0,10,1.03,9.75,7,58.63
1705,3,2,1,43,2.58,6.06,5,54.36
1538,5,1,0,24,3.18,7.21,7,68.94
1887,3,2,0,23,11.29,0.88,5,81.15
1219,3,2,1,1,4.1,6.28,6,76.48
1368,3,1,0,26,1.73,4.54,6,63.88
1343,5,3,1,18,6.79,8.86,8,57.66
914,2,1,1,28,3.52,3.88,4,46.09
1618,3,2,1,36,0.88,6.79,5,65.39
1604,4,1,0,10,4.3,2.28,3,79.67
1502,3,2,0,18,12.12,2.59,2,77.5
1406,2,2,1,27,9.25,3.76,6,58.63
933,3,2,2,38,4.42,3.04,3,42.36
1331,2,1,0,20,2.37,2.54,2,62.18
1362,3,2,0,25,0.5,0.5,8,82.59
1179,4,2,2,21,3.17,8.37,6,61.39
1435,2,3,0,5,6.97,0.64,3,71.99
1661,4,2,2,10,2.23,8.87,2,76.73
2254,1,2,1,13,1.34,1.25,3,103.44
1569,4,2,1,35,13.4,0.65,6,65.75
1603,3,2,1,39,8.62,5.63,7,58.13
1470,2,1,0,40,5.08,5.02,6,56.01
732,2,2,1,1,0.74,4.91,3,51.93
1489,5,2,2,42,0.78,5.75,6,72.98
1524,2,2,1,19,0.54,2.87,5,70.2
2485,2,2,1,21,4.79,6.63,6,96.02
1423,3,3,1,38,0.61,5.02,8,73.54
1620,3,1,0,3,9.25,3.35,5,77.37
1486,3,2,1,28,24.78,8.27,3,45.21
1032,2,3,1,45,2.28,7.28,8,47.85
1957,3,2,1,23,3.02,3.94,4,80.24
1800,2,2,1,0,6.22,8.48,4,77.66
1816,2,2,1,23,13.84,9.2,7,65.03
1136,3,1,2,29,11.23,5.37,7,50.99
2061,4,2,1,11,0.5,2.15,8,98.54
939,2,3,0,18,0.93,9.16,3,41.0
1734,3,1,1,36,7.02,1.89,5,75.74
2376,3,2,1,39,5.84,0.48,3,91.59
1103,5,3,1,42,0.71,3.27,6,65.1
1273,5,3,2,3,3.49,7.27,4,59.39
1539,4,2,1,14,7.59,9.23,7,65.73
1298,2,2,1,19,1.23,6.37,1,51.67
879,2,2,1,43,10.25,9.52,2,23.9
1527,3,1,0,19,0.5,0.92,5,69.92
1075,3,2,0,20,7.62,0.61,9,56.29
1689,3,2,2,9,4.78,6.04,8,84.58
1132,4,3,1,29,1.89,9.66,10,54.46
2119,4,1,0,23,6.38,5.03,5,86.91
1186,4,2,0,47,7.62,0.52,1,43.5
1371,3,2,1,39,13.58,2.21,5,48.24
1825,3,2,1,39,2.29,2.45,7,78.94
1007,3,1,2,37,5.79,3.38,3,48.71
1590,2,2,0,2,4.61,0.44,4,77.66
2022,4,3,2,28,3.72,9.05,2,70.84
857,1,2,1,7,11.06,5.16,6,54.09
1573,3,2,1,28,0.5,6.71,4,65.19
1603,3,2,1,9,1.66,0.67,2,75.06
1812,3,2,0,4,3.86,0.54,5,82.53
1005,4,2,2,10,0.98,5.86,5,57.43
971,3,3,0,3,11.92,8.87,6,49.39
1708,4,4,0,48,5.21,5.28,7,72.73
1618,3,2,2,34,3.25,8.78,3,59.66
1600,3,2,1,49,8.43,8.11,7,54.74
1638,4,3,2,39,3.0,0.76,1,67.02
1227,3,2,1,11,4.09,2.02,5,75.24
1592,5,2,1,20,0.5,6.58,6,80.72
1617,2,2,2,15,2.28,4.44,9,83.99
1214,3,3,0,13,0.75,2.91,6,68.88
2246,3,2,2,20,5.85,4.19,3,91.78
1689,4,3,0,47,3.26,4.45,6,55.39
1023,2,3,2,26,1.8,9.11,5,48.24
1762,4,2,0,35,3.15,1.03,6,88.55
1110,3,3,1,0,1.18,2.8,3,65.71
1814,3,3,2,0,12.96,5.38,6,79.64
1963,3,2,1,21,0.5,6.98,3,77.66
1171,3,1,1,14,10.03,6.31,7,52.64
1885,3,1,2,19,3.58,9.42,6,70.11
1665,4,2,1,2,4.82,7.96,2,75.53
1828,3,2,2,13,1.8,5.57,8,90.11
2258,3,2,1,8,17.01,2.15,6,96.38
1401,3,1,0,18,1.66,4.51,5,60.0
1198,2,3,0,39,4.44,6.93,1,39.08
1144,2,2,0,33,25.12,8.38,6,36.8
1173,3,2,0,3,10.65,9.6,5,57.55
1469,3,2,1,32,3.84,6.05,9,65.03
1636,2,2,0,42,23.22,5.27,1,41.5
1610,3,2,0,36,6.04,0.18,1,69.68
1830,3,2,0,1,1.17,0.72,9,106.7
1505,3,1,2,26,2.6,1.56,9,82.03
2081,3,3,1,44,2.04,0.55,1,90.61
1394,2,3,1,16,2.11,4.01,7,68.14
