Advertising,Discount,Store_Size,Competitor_Price,Seasonality,Online_Presence,Economic_Index,Sales_Price
4174,18.943746418963535,1416,498,0,1,86.66485743924807,17053.27557608779
4507,7.76329848944539,1979,416,1,1,85.23153385862696,27592.090399858494
1860,11.552900548356899,991,357,0,0,66.43334701031563,6704.784592051601
2294,10.88573151399082,1532,270,1,1,92.13553322226717,13051.942532254425
2130,11.07822684948918,1655,309,0,1,97.3424385286832,5224.49156444455
2095,6.882862718418139,1600,484,0,1,64.85371114969159,4704.600765088903
4772,17.204235889710787,1237,457,1,1,63.135959364392605,13523.03231902996
4092,5.536493645224029,630,289,1,1,85.20528798644602,12225.389602288431
2638,12.923399115907355,1496,256,1,0,85.41409794325295,24012.382476654246
3169,14.928175820670369,1935,497,1,1,75.5208711069455,10415.589202816536
1466,8.112041570883157,1613,248,1,0,96.16600017989208,-1147.067174689928
2238,18.587752881481933,997,384,0,0,57.31575122678362,4969.777273250476
1330,17.578238105371895,1121,398,1,0,73.86835456352523,15156.084524873715
2482,12.06625594225888,1388,217,1,0,51.76034357500371,16289.133676268595
3135,11.167233985102081,853,397,1,0,52.63279710090574,12226.969843256114
4444,8.548518878166501,770,431,0,1,52.684226706789204,18178.73894463748
4171,15.949898369674454,1915,226,1,1,74.58940865428862,17953.184313541868
3919,6.976156994479462,931,317,0,0,79.4482276507038,-7353.7131125931555
4735,15.203566307656745,1238,253,1,0,50.174374825637855,19310.812062202313
1130,17.6368547917762,971,351,1,0,81.62732020097187,8389.47040998234
2685,8.427073638755356,1831,424,1,0,74.48503760698368,11761.446201940282
4380,17.996411043481345,1007,361,0,1,61.19009430308317,-5000.3178135530125
1769,5.499847991592627,554,349,1,1,50.7550061038255,564.7528409661663
3391,18.69181078079788,536,415,1,0,57.80515999222142,-14665.148969909562
2515,6.77543341776947,1399,241,0,1,80.01661177957455,7284.559508315187
4485,14.68638766907049,554,360,1,0,82.94201018699916,976.1531124817229
3853,8.751237033709128,1023,273,0,1,82.35306009344555,9737.75942121449
3433,17.54828586754421,1414,224,1,0,57.65811600538728,26080.848948735118
2215,12.684505413731998,962,441,1,1,95.56071570011133,18339.15353592155
1955,7.02861786869752,1196,372,0,1,70.54760367768274,9966.676240632929
3324,13.564873569889677,1215,486,1,0,88.40037109443536,1010.2767103079259
2184,11.118239152954747,1734,358,1,0,58.32404698524503,150.52719792540665
1459,14.921717249196517,1749,417,1,1,73.52843562126709,21917.990034200127
4385,18.22854927145189,1530,314,0,0,76.07605886929012,-3767.107615766339
1021,11.140836967751277,1231,440,1,0,88.5177625414166,-3686.276784975529
3300,9.348210193007894,1488,411,1,1,81.0759467497663,38934.59450330733
1747,5.217726417914132,711,285,0,0,69.96512445502972,4950.247249052124
3904,13.622585567898124,1712,332,1,0,64.12573245544404,33308.03184040278
4632,11.034121511471504,1598,467,1,1,98.64783753825438,10645.554883961071
1474,10.61973828522243,1253,476,1,0,64.22649966957536,20253.86235455753
2082,7.744029819263188,1637,464,0,1,56.47369602128925,13191.69952515687
3558,11.450830177869115,1674,292,1,1,65.0208345358785,7685.902076544122
4753,19.766629303750523,935,290,1,0,66.34681998113398,-958.0783531554362
3047,9.466312305083665,583,344,0,0,56.39297545188003,-17045.789914654873
4547,13.995566201121504,1735,351,0,0,85.40725511939249,1319.21806161516
3747,16.647303219735,1278,354,0,1,80.9582507113946,15834.418376292011
1975,16.237367347647975,1333,335,1,0,65.8307738741742,7574.904082099022
2806,9.931614312388861,960,452,0,1,99.65000470149965,2325.353257174176
1189,14.162901252752755,676,228,1,0,82.75055365828823,5272.893004289504
4005,18.06897027905236,811,282,1,1,85.1592693352885,18712.184296184852
3734,5.231711415996169,1682,233,0,0,77.85913250519204,193.94824956457887
4005,11.536015352649613,685,303,1,1,77.57873702931082,13610.15032808686
1562,8.36410127362858,1994,432,0,0,51.00111332891396,-4599.841894931804
2899,10.829484355982585,1832,436,0,0,88.54531384845185,-17233.973530595853
4638,11.239844119628625,745,422,0,1,95.53703795827994,2059.2335401307364
2267,16.200064471799557,1516,289,0,1,56.11319888319446,4385.500557261112
3879,6.407328085931647,883,439,1,1,89.7815239403578,8163.602056137519
2528,12.688758546987657,1565,417,1,1,76.71535039318007,10821.1353712951
4202,13.46292187698118,784,381,1,1,64.26545807581367,14421.989456229046
4556,12.412364053277066,1479,456,0,1,96.04420338471606,3674.2977613676485
4890,15.978098795940802,1487,431,0,0,50.86854510368503,-5165.607594747793
1646,10.75686883860271,799,388,1,1,63.702927915899835,18674.031527291358
3068,19.17450595460114,1400,454,0,0,94.31249152631057,18632.564127309644
3888,12.22705163808412,1959,244,1,1,74.05072468539345,18732.959697822982
3214,13.568208644221963,1892,285,0,1,79.94609022471697,17702.613032916433
2297,17.38296235020124,1373,400,0,1,87.48839972672181,17607.87700431533
3435,9.128541588966836,985,411,1,1,57.398680811166926,20442.96730366653
1600,6.128030431442037,935,318,1,1,60.75875519252973,-1515.5141054650594
3363,15.616759675437239,1305,497,1,0,99.93144264271294,6099.83721624795
3061,12.24517783322568,1951,354,0,0,61.872635312811404,-5504.087707130888
1241,18.447563764384924,680,385,1,1,76.9601253176173,7699.4337980883265
3041,19.740200730836513,1382,396,1,0,64.93536349584141,13674.535761017776
