ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags
45774419,8467,0,HONDA,FIT,2006,Hatchback,0,Petrol,1.3,200000,4,Variator,Front,Right-hand drive,Black,2
45756839,26657,0,LEXUS,RX 350,2007,Jeep,1,Petrol,3.5,128500,6,Automatic,4x4,Left wheel,Silver,12
45814819,8781,0,FORD,Transit,1999,Microbus,0,CNG,4,0,8,Manual,Rear,Left wheel,Blue,0
45815568,3000,0,OPEL,Vectra,1997,Goods wagon,0,CNG,1.6,350000,4,Manual,Front,Left wheel,White,4
45814106,7840,0,FORD,Transit,2001,Microbus,0,Diesel,2.0 Turbo,230000,4,Manual,Front,Left wheel,White,0
45813492,4704,0,OPEL,Vectra,1995,Sedan,0,Petrol,1.8,0,4,Automatic,Front,Left wheel,Green,4
45782859,20385,0,MERCEDES-BENZ,E 220,2006,Sedan,1,Diesel,2.2 Turbo,210000,4,Tiptronic,Rear,Left wheel,Black,8
45804684,30,0,TOYOTA,Prius,2008,Sedan,0,Hybrid,1.5,169000,4,Automatic,Front,Left wheel,White,8
45790136,6899,0,BMW,X5,2000,Jeep,1,CNG,4.4,200000,8,Automatic,4x4,Left wheel,Silver,6
45542380,24462,0,JEEP,Grand Cherokee,2007,Jeep,1,Diesel,3.0 Turbo,250000,6,Tiptronic,4x4,Left wheel,Black,10
45811563,12544,0,TOYOTA,Aqua,2012,Hatchback,0,Hybrid,1.5,141500,4,Automatic,Front,Right-hand drive,Black,8
45699930,17249,0,FORD,Escape Hybrid,2008,Jeep,0,Hybrid,2.3,147000,4,Variator,4x4,Left wheel,White,8
45802148,14583,0,RENAULT,Megane 1.5CDI,2008,Sedan,0,Diesel,1.5 Turbo,132542,4,Manual,Front,Left wheel,White,10
45782169,8781,0,MERCEDES-BENZ,C 180,2001,Coupe,0,Petrol,2,260000,4,Manual,Rear,Left wheel,Blue,0
44316016,87112,0,MERCEDES-BENZ,GLA 250,2019,Jeep,1,Petrol,2.0 Turbo,5323,4,Tiptronic,4x4,Left wheel,Grey,0
45323316,10349,0,TOYOTA,VOXY,2007,Minivan,1,Petrol,2.4,170000,4,Automatic,Front,Right-hand drive,Black,6
45778144,5331,0,MERCEDES-BENZ,A 160,2004,Sedan,0,Petrol,1.6,130000,4,Tiptronic,Front,Left wheel,Black,6
45786421,5488,0,TOYOTA,Vitz,2001,Hatchback,0,Petrol,1.5,210000,4,Manual,Front,Right-hand drive,Sky blue,3
45624039,42337,0,FORD,Mustang,2016,Cabriolet,1,Petrol,2.3 Turbo,75000,4,Tiptronic,Rear,Left wheel,Silver,6
45787521,18189,0,TOYOTA,Prius,2012,Sedan,0,Petrol,1.8,175000,4,Automatic,Front,Left wheel,Silver,8
45765301,8154,0,HONDA,Cr-v,1998,Jeep,0,Petrol,2,0,4,Automatic,4x4,Right-hand drive,White,2
45733554,2822,0,BMW,520 Vanos,1995,Sedan,1,Petrol,2,350000,6,Manual,Rear,Left wheel,Blue,2
45330228,32929,0,BMW,428 Sport Line,2013,Coupe,1,Petrol,2.0 Turbo,160000,4,Automatic,Rear,Left wheel,Black,12
45776745,18817,0,NISSAN,Patrol,1990,Jeep,0,Diesel,2.8 Turbo,333333,4,Manual,Rear,Left wheel,Black,0
45749534,4234,0,HONDA,Civic,1997,Hatchback,1,Petrol,1.4,0,4,Manual,Front,Left wheel,Blue,6
45789555,15053,0,MERCEDES-BENZ,E 320,2004,Sedan,1,Petrol,3.2,214000,6,Tiptronic,Rear,Left wheel,Grey,8
45776758,26657,0,MERCEDES-BENZ,Sprinter,2004,Microbus,0,Diesel,2.2 Turbo,300000,4,Manual,Rear,Left wheel,White,1
45742789,12858,0,KIA,Picanto,2016,Hatchback,0,Petrol,1.2,107000,4,Manual,Front,Left wheel,Silver,2
45783859,15000,0,BMW,328,2008,Sedan,1,CNG,3,210408,6,Tiptronic,Rear,Left wheel,White,12
45782067,12231,0,MITSUBISHI,Airtrek,2005,Jeep,0,LPG,2.4,144000,4,Tiptronic,4x4,Right-hand drive,White,16
45753393,1254,0,MITSUBISHI,Lancer,1997,Sedan,0,Petrol,1.3,100000,4,Manual,Rear,Left wheel,Red,0
45624923,94,0,HONDA,FIT,2003,Hatchback,0,Petrol,1.5,178000,4,Variator,Front,Right-hand drive,Silver,4
45787329,3450,0,RENAULT,Clio,1995,Hatchback,0,Petrol,1.2,50000,3,Manual,Front,Left wheel,Green,0
45801896,9408,0,MERCEDES-BENZ,C 220,1999,Sedan,0,Diesel,2.2 Turbo,111111,4,Manual,Rear,Left wheel,Silver,4
45762683,17876,0,NISSAN,Serena,2012,Minivan,0,Petrol,2,143000,4,Tiptronic,Front,Right-hand drive,White,12
45732074,20071,0,TOYOTA,RAV 4,2008,Jeep,0,Petrol,2.4,135000,4,Automatic,4x4,Left wheel,Silver,8
45766794,15681,0,MITSUBISHI,Pajero,1997,Jeep,0,Petrol,2.4,142000,4,Automatic,4x4,Left wheel,Blue,6
44698379,18660,0,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,130000,4,Tiptronic,Front,Left wheel,Black,6
45759786,4300,0,MERCEDES-BENZ,208,1985,Universal,0,Diesel,2.5,1111111,4,Manual,Rear,Left wheel,Black,1
45462592,9095,0,FIAT,500,2011,Coupe,0,Petrol,1.2,141000,4,Automatic,Front,Right-hand drive,Red,4
45777114,3136,0,SUBARU,Legacy,2005,Goods wagon,0,Petrol,2.0 Turbo,180000,6,Tiptronic,4x4,Right-hand drive,Blue,6
44875253,11917,0,MERCEDES-BENZ,A 170,2008,Hatchback,0,Petrol,1.7,180000,4,Automatic,Front,Left wheel,Golden,8
45811318,4547,0,OPEL,Vectra,1997,Sedan,0,Petrol,1.6,15000,4,Manual,Front,Left wheel,Beige,2
45798511,7840,0,MERCEDES-BENZ,E 240 E 240,1998,Sedan,1,Petrol,2.4,777777,6,Manual,Rear,Left wheel,Blue,4
45782173,1300,0,AUDI,50,2018,Coupe,1,Petrol,0.5,4000,1,Tiptronic,Rear,Right-hand drive,Blue,0
45795520,17249,0,TOYOTA,Camry,2011,Sedan,1,Hybrid,2.5,152000,4,Variator,Front,Left wheel,White,12
45778720,9408,0,TOYOTA,Vitz funkargo,2003,Universal,0,Petrol,1.5,181926,4,Automatic,4x4,Right-hand drive,Silver,2
45793851,3450,0,OPEL,Vectra,1995,Sedan,0,CNG,2,0,4,Manual,Front,Left wheel,White,2
45805913,9408,0,MITSUBISHI,Pajero,1998,Jeep,0,Petrol,3.5 Turbo,11000,6,Tiptronic,4x4,Right-hand drive,Silver,4
45793479,31500,0,NISSAN,Pathfinder,2010,Jeep,1,LPG,4,90200,6,Tiptronic,4x4,Left wheel,Black,12
43390500,20385,0,MITSUBISHI,Delica,2005,Minivan,1,Petrol,3,184000,6,Automatic,4x4,Right-hand drive,White,12
45792823,2300,0,VOLKSWAGEN,Golf,1996,Sedan,0,CNG,2,0,4,Manual,Front,Left wheel,Green,0
45776494,7840,0,MERCEDES-BENZ,Vaneo,2004,Universal,0,LPG,1.9,170000,4,Tiptronic,Front,Left wheel,Silver,4
45787317,56450,0,TOYOTA,Camry Se,2018,Sedan,1,Petrol,2.5,25000,4,Tiptronic,Front,Left wheel,Blue,12
45788160,13172,0,HONDA,Cr-v,2002,Jeep,0,Petrol,2.4,260000,4,Automatic,4x4,Left wheel,Silver,6
45776729,19757,0,NISSAN,Patrol Y60,1990,Jeep,0,Diesel,2.8 Turbo,222222,4,Manual,Rear,Left wheel,Black,0
45709646,10820,0,TOYOTA,RAV 4,2001,Jeep,0,Petrol,2,91000,4,Automatic,4x4,Right-hand drive,Silver,4
