Member_number,itemDescription
1000,soda
1000,canned beer
1000,sausage
1000,sausage
1000,whole milk
1000,whole milk
1000,pickled vegetables
1000,misc. beverages
1000,semi-finished bread
1000,hygiene articles
1000,yogurt
1000,pastry
1000,salty snack
1001,frankfurter
1001,frankfurter
1001,beef
1001,sausage
1001,whole milk
1001,soda
1001,curd
1001,white bread
1001,whole milk
1001,soda
1001,whipped/sour cream
1001,rolls/buns
1002,tropical fruit
1002,butter milk
1002,butter
1002,frozen vegetables
1002,sugar
1002,specialty chocolate
1002,whole milk
1002,other vegetables
1003,sausage
1003,root vegetables
1003,rolls/buns
1003,detergent
1003,frozen meals
1003,rolls/buns
1003,dental care
1003,rolls/buns
1004,other vegetables
1004,pip fruit
1004,root vegetables
1004,canned beer
1004,rolls/buns
1004,whole milk
1004,other vegetables
1004,hygiene articles
1004,whole milk
1004,whole milk
1004,frozen fish
1004,red/blush wine
1004,chocolate
1004,shopping bags
1004,dish cleaner
1004,packaged fruit/vegetables
1004,tropical fruit
1004,rolls/buns
1004,cling film/bags
1004,chocolate
1004,pastry
1005,whipped/sour cream
1005,rolls/buns
1005,margarine
1005,rolls/buns
1006,whole milk
1006,frankfurter
1006,chicken
1006,frankfurter
1006,whole milk
1006,bottled water
1006,flour
1006,chocolate
1006,bottled beer
1006,rolls/buns
1006,rice
1006,softener
1006,shopping bags
1006,rolls/buns
1006,skin care
1008,hamburger meat
1008,tropical fruit
1008,soda
1008,liquor (appetizer)
1008,yogurt
1008,liver loaf
1008,root vegetables
1008,yogurt
1008,dessert
1008,domestic eggs
1008,white wine
1008,photo/film
1009,herbs
1009,pastry
1009,tropical fruit
1009,yogurt
1009,ketchup
1009,yogurt
1009,canned fish
1009,newspapers
1009,cocoa drinks
1010,pip fruit
1010,frankfurter
1010,pip fruit
1010,bottled water
1010,candles
1010,bottled water
1010,coffee
1010,specialty bar
1010,kitchen towels
1010,rolls/buns
1010,UHT-milk
1010,sliced cheese
1011,whole milk
1011,frankfurter
1011,candles
1011,citrus fruit
1011,curd cheese
1011,grapes
1011,herbs
1011,other vegetables
1011,candy
1011,pastry
1011,bottled water
1011,yogurt
1011,rolls/buns
1012,frankfurter
1012,processed cheese
1012,tropical fruit
1012,root vegetables
1012,yogurt
1012,whole milk
1012,rolls/buns
1012,onions
1012,frozen vegetables
1012,shopping bags
1012,brown bread
1013,frozen meals
1013,white bread
1013,meat
1013,whole milk
1013,tropical fruit
1013,mustard
1013,hard cheese
1013,root vegetables
1013,other vegetables
1013,whole milk
1013,domestic eggs
1013,roll products 
1013,candy
1013,frozen vegetables
1013,whipped/sour cream
1013,napkins
1013,mayonnaise
1013,mustard
1013,bottled water
1014,whole milk
1014,canned beer
1014,sausage
1014,hamburger meat
1014,whole milk
1014,bottled beer
1014,cookware
1014,yogurt
1014,butter milk
1014,rolls/buns
1015,citrus fruit
1015,salty snack
1015,fruit/vegetable juice
1015,whole milk
1015,beef
1015,rolls/buns
1015,chocolate
1016,UHT-milk
1016,soft cheese
1016,rolls/buns
1016,chicken
1016,frankfurter
1016,bottled beer
1016,pip fruit
1016,oil
1016,red/blush wine
1016,pip fruit
1016,mayonnaise
1017,soda
1017,other vegetables
1017,yogurt
1017,other vegetables
1017,dessert
1017,rolls/buns
1017,beef
1017,root vegetables
1017,brown bread
1017,shopping bags
1017,pet care
1018,butter milk
1018,curd
1018,berries
1018,beverages
1018,root vegetables
1018,long life bakery product
1018,cake bar
1018,domestic eggs
1019,hamburger meat
1019,red/blush wine
1020,canned beer
1020,canned beer
1020,frozen meals
1020,spices
1020,rolls/buns
1020,shopping bags
1020,butter
1020,frozen fish
1020,newspapers
1020,yogurt
1021,rolls/buns
1021,liquor
1021,curd
1021,sliced cheese
1021,baking powder
1021,yogurt
1021,tropical fruit
1021,butter
1022,sausage
1022,beef
1022,whole milk
1022,fruit/vegetable juice
1022,napkins
1022,whipped/sour cream
1023,white bread
1023,whipped/sour cream
1023,bottled beer
1023,root vegetables
1023,sausage
1023,domestic eggs
1023,chicken
1023,male cosmetics
1023,yogurt
1023,rolls/buns
1023,berries
1023,packaged fruit/vegetables
1023,whipped/sour cream
1023,soda
1023,frozen meals
1023,curd
1023,specialty bar
1024,fish
1024,root vegetables
1024,tropical fruit
1024,other vegetables
1025,canned beer
1025,ham
1025,coffee
1025,UHT-milk
1025,cream cheese 
1025,shopping bags
1026,fruit/vegetable juice
1026,root vegetables
1026,salty snack
1026,whipped/sour cream
1026,citrus fruit
1026,sausage
1026,root vegetables
1026,candy
1026,root vegetables
1026,dental care
1026,canned beer
1026,yogurt
1026,dessert
1026,long life bakery product
1026,rolls/buns
1026,butter
1026,pickled vegetables
1027,pork
1027,rolls/buns
1027,softener
1027,hamburger meat
1027,red/blush wine
1027,salt
1027,rolls/buns
1027,whole milk
1027,bottled water
1028,specialty chocolate
1028,onions
1028,soda
1028,rolls/buns
